image_name,label
600.Hold,Hold
601.Hold,Hold
602.Hold,Hold
603.Hold,Hold
604.Hold,Hold
605.Hold,Hold
606.Hold,Hold
607.Hold,Hold
608.Hold,Hold
609.Hold,Hold
610.Hold,Hold
611.Hold,Hold
612.Hold,Hold
613.Hold,Hold
614.Hold,Hold
615.Hold,Hold
616.Hold,Hold
617.Hold,Hold
618.Hold,Hold
619.Hold,Hold
620.Hold,Hold
621.Hold,Hold
622.Hold,Hold
623.Hold,Hold
624.Hold,Hold
625.Hold,Hold
626.Hold,Hold
627.Hold,Hold
628.Hold,Hold
629.Hold,Hold
630.Hold,Hold
631.Hold,Hold
632.Hold,Hold
633.Sell,Sell
634.Sell,Sell
635.Sell,Sell
636.Sell,Sell
637.Hold,Hold
638.Hold,Hold
639.Hold,Hold
640.Hold,Hold
641.Hold,Hold
642.Hold,Hold
643.Sell,Sell
644.Hold,Hold
645.Hold,Hold
646.Hold,Hold
647.Hold,Hold
648.Hold,Hold
649.Hold,Hold
650.Hold,Hold
651.Hold,Hold
652.Hold,Hold
653.Hold,Hold
654.Hold,Hold
655.Hold,Hold
656.Hold,Hold
657.Buy,Buy
658.Hold,Hold
659.Hold,Hold
660.Hold,Hold
661.Sell,Sell
662.Hold,Hold
663.Hold,Hold
664.Hold,Hold
665.Hold,Hold
666.Hold,Hold
667.Hold,Hold
668.Hold,Hold
669.Hold,Hold
670.Sell,Sell
671.Hold,Hold
672.Sell,Sell
673.Hold,Hold
674.Hold,Hold
675.Hold,Hold
676.Hold,Hold
677.Hold,Hold
678.Sell,Sell
679.Sell,Sell
680.Hold,Hold
681.Hold,Hold
682.Hold,Hold
683.Sell,Sell
684.Sell,Sell
685.Sell,Sell
686.Sell,Sell
687.Hold,Hold
688.Hold,Hold
689.Hold,Hold
690.Hold,Hold
691.Hold,Hold
692.Hold,Hold
693.Hold,Hold
694.Hold,Hold
695.Hold,Hold
696.Hold,Hold
697.Hold,Hold
698.Hold,Hold
699.Hold,Hold
700.Hold,Hold
701.Hold,Hold
702.Hold,Hold
703.Hold,Hold
704.Hold,Hold
705.Hold,Hold
706.Hold,Hold
707.Hold,Hold
708.Hold,Hold
709.Hold,Hold
710.Hold,Hold
711.Hold,Hold
712.Hold,Hold
713.Hold,Hold
714.Hold,Hold
715.Hold,Hold
716.Hold,Hold
717.Hold,Hold
718.Hold,Hold
719.Hold,Hold
720.Hold,Hold
721.Hold,Hold
722.Hold,Hold
723.Hold,Hold
724.Hold,Hold
725.Sell,Sell
726.Hold,Hold
727.Hold,Hold
728.Hold,Hold
729.Hold,Hold
730.Hold,Hold
731.Sell,Sell
732.Hold,Hold
733.Sell,Sell
734.Hold,Hold
735.Hold,Hold
736.Hold,Hold
737.Hold,Hold
738.Hold,Hold
739.Hold,Hold
740.Hold,Hold
741.Hold,Hold
742.Hold,Hold
743.Hold,Hold
744.Hold,Hold
745.Hold,Hold
746.Sell,Sell
747.Hold,Hold
748.Hold,Hold
749.Hold,Hold
750.Hold,Hold
751.Hold,Hold
752.Hold,Hold
753.Sell,Sell
754.Hold,Hold
755.Sell,Sell
756.Hold,Hold
757.Hold,Hold
758.Sell,Sell
759.Sell,Sell
760.Sell,Sell
761.Sell,Sell
762.Sell,Sell
763.Hold,Hold
764.Hold,Hold
765.Sell,Sell
766.Hold,Hold
767.Hold,Hold
768.Hold,Hold
769.Hold,Hold
770.Hold,Hold
771.Hold,Hold
772.Hold,Hold
773.Sell,Sell
774.Sell,Sell
775.Sell,Sell
776.Sell,Sell
777.Sell,Sell
778.Hold,Hold
779.Hold,Hold
780.Hold,Hold
781.Hold,Hold
782.Hold,Hold
783.Hold,Hold
784.Hold,Hold
785.Hold,Hold
786.Hold,Hold
787.Hold,Hold
788.Hold,Hold
789.Hold,Hold
790.Hold,Hold
791.Hold,Hold
792.Hold,Hold
793.Hold,Hold
794.Hold,Hold
795.Hold,Hold
796.Hold,Hold
797.Hold,Hold
798.Hold,Hold
799.Hold,Hold
800.Hold,Hold
801.Hold,Hold
802.Hold,Hold
803.Hold,Hold
804.Hold,Hold
805.Hold,Hold
806.Hold,Hold
807.Hold,Hold
808.Hold,Hold
809.Hold,Hold
810.Hold,Hold
811.Hold,Hold
812.Hold,Hold
813.Hold,Hold
814.Hold,Hold
815.Sell,Sell
816.Hold,Hold
817.Hold,Hold
818.Hold,Hold
819.Hold,Hold
820.Hold,Hold
821.Hold,Hold
822.Hold,Hold
823.Hold,Hold
824.Hold,Hold
825.Hold,Hold
826.Hold,Hold
827.Hold,Hold
828.Sell,Sell
829.Sell,Sell
830.Sell,Sell
831.Hold,Hold
832.Sell,Sell
833.Hold,Hold
834.Sell,Sell
835.Sell,Sell
836.Sell,Sell
837.Sell,Sell
838.Hold,Hold
839.Hold,Hold
840.Hold,Hold
841.Hold,Hold
842.Hold,Hold
843.Hold,Hold
844.Hold,Hold
845.Hold,Hold
846.Hold,Hold
847.Hold,Hold
848.Hold,Hold
849.Hold,Hold
850.Hold,Hold
851.Hold,Hold
852.Hold,Hold
853.Sell,Sell
854.Sell,Sell
855.Hold,Hold
856.Hold,Hold
857.Hold,Hold
858.Hold,Hold
859.Hold,Hold
860.Hold,Hold
861.Hold,Hold
862.Hold,Hold
863.Hold,Hold
864.Hold,Hold
865.Hold,Hold
866.Sell,Sell
867.Sell,Sell
868.Hold,Hold
869.Hold,Hold
870.Hold,Hold
871.Hold,Hold
872.Hold,Hold
873.Hold,Hold
874.Hold,Hold
875.Hold,Hold
876.Sell,Sell
877.Sell,Sell
878.Hold,Hold
879.Hold,Hold
880.Hold,Hold
881.Hold,Hold
882.Sell,Sell
883.Sell,Sell
884.Hold,Hold
885.Hold,Hold
886.Hold,Hold
887.Hold,Hold
888.Hold,Hold
889.Hold,Hold
890.Hold,Hold
891.Hold,Hold
892.Hold,Hold
893.Hold,Hold
894.Hold,Hold
895.Hold,Hold
896.Hold,Hold
897.Hold,Hold
898.Hold,Hold
899.Hold,Hold
900.Hold,Hold
901.Hold,Hold
902.Hold,Hold
903.Hold,Hold
904.Hold,Hold
905.Hold,Hold
906.Hold,Hold
907.Hold,Hold
908.Hold,Hold
909.Hold,Hold
910.Hold,Hold
911.Hold,Hold
912.Hold,Hold
913.Hold,Hold
914.Hold,Hold
915.Hold,Hold
916.Hold,Hold
917.Hold,Hold
918.Sell,Sell
919.Hold,Hold
920.Hold,Hold
921.Hold,Hold
922.Hold,Hold
923.Hold,Hold
924.Hold,Hold
925.Hold,Hold
926.Hold,Hold
927.Hold,Hold
928.Hold,Hold
929.Hold,Hold
930.Hold,Hold
931.Hold,Hold
932.Sell,Sell
933.Hold,Hold
934.Hold,Hold
935.Sell,Sell
936.Sell,Sell
937.Hold,Hold
938.Hold,Hold
939.Hold,Hold
940.Hold,Hold
941.Hold,Hold
942.Hold,Hold
943.Hold,Hold
944.Hold,Hold
945.Hold,Hold
946.Hold,Hold
947.Hold,Hold
948.Hold,Hold
949.Hold,Hold
950.Hold,Hold
951.Hold,Hold
952.Hold,Hold
953.Hold,Hold
954.Hold,Hold
955.Hold,Hold
956.Hold,Hold
957.Hold,Hold
958.Hold,Hold
959.Hold,Hold
960.Hold,Hold
961.Sell,Sell
962.Hold,Hold
963.Hold,Hold
964.Hold,Hold
965.Hold,Hold
966.Hold,Hold
967.Hold,Hold
968.Hold,Hold
969.Hold,Hold
970.Hold,Hold
971.Hold,Hold
972.Hold,Hold
973.Hold,Hold
974.Hold,Hold
975.Hold,Hold
976.Hold,Hold
977.Hold,Hold
978.Hold,Hold
979.Hold,Hold
980.Hold,Hold
981.Hold,Hold
982.Hold,Hold
983.Hold,Hold
984.Hold,Hold
985.Hold,Hold
986.Hold,Hold
987.Hold,Hold
988.Hold,Hold
989.Hold,Hold
990.Hold,Hold
991.Hold,Hold
992.Hold,Hold
993.Hold,Hold
994.Hold,Hold
995.Hold,Hold
996.Hold,Hold
997.Hold,Hold
998.Hold,Hold
999.Hold,Hold
1000.Hold,Hold
1001.Sell,Sell
1002.Sell,Sell
1003.Sell,Sell
1004.Sell,Sell
1005.Hold,Hold
1006.Hold,Hold
1007.Hold,Hold
1008.Hold,Hold
1009.Hold,Hold
1010.Sell,Sell
1011.Hold,Hold
1012.Hold,Hold
1013.Hold,Hold
1014.Sell,Sell
1015.Sell,Sell
1016.Sell,Sell
1017.Sell,Sell
1018.Sell,Sell
1019.Hold,Hold
1020.Hold,Hold
1021.Hold,Hold
1022.Hold,Hold
1023.Hold,Hold
1024.Hold,Hold
1025.Hold,Hold
1026.Hold,Hold
1027.Hold,Hold
1028.Hold,Hold
1029.Hold,Hold
1030.Hold,Hold
1031.Hold,Hold
1032.Hold,Hold
1033.Hold,Hold
1034.Hold,Hold
1035.Hold,Hold
1036.Sell,Sell
1037.Hold,Hold
1038.Hold,Hold
1039.Hold,Hold
1040.Hold,Hold
1041.Hold,Hold
1042.Hold,Hold
1043.Hold,Hold
1044.Hold,Hold
1045.Hold,Hold
1046.Sell,Sell
1047.Sell,Sell
1048.Sell,Sell
1049.Sell,Sell
1050.Hold,Hold
1051.Hold,Hold
1052.Hold,Hold
1053.Hold,Hold
1054.Hold,Hold
1055.Hold,Hold
1056.Hold,Hold
1057.Hold,Hold
1058.Hold,Hold
1059.Hold,Hold
1060.Hold,Hold
1061.Hold,Hold
1062.Hold,Hold
1063.Hold,Hold
1064.Hold,Hold
1065.Sell,Sell
1066.Hold,Hold
1067.Hold,Hold
1068.Hold,Hold
1069.Hold,Hold
1070.Hold,Hold
1071.Hold,Hold
1072.Sell,Sell
1073.Hold,Hold
1074.Hold,Hold
1075.Hold,Hold
1076.Hold,Hold
1077.Hold,Hold
1078.Hold,Hold
1079.Hold,Hold
1080.Hold,Hold
1081.Hold,Hold
1082.Hold,Hold
1083.Hold,Hold
1084.Hold,Hold
1085.Hold,Hold
1086.Hold,Hold
1087.Hold,Hold
1088.Hold,Hold
1089.Hold,Hold
1090.Hold,Hold
1091.Hold,Hold
1092.Hold,Hold
1093.Hold,Hold
1094.Hold,Hold
1095.Hold,Hold
1096.Hold,Hold
1097.Hold,Hold
1098.Hold,Hold
1099.Hold,Hold
1100.Hold,Hold
1101.Hold,Hold
1102.Hold,Hold
1103.Hold,Hold
1104.Hold,Hold
1105.Hold,Hold
1106.Hold,Hold
1107.Hold,Hold
1108.Hold,Hold
1109.Hold,Hold
1110.Hold,Hold
1111.Hold,Hold
1112.Hold,Hold
1113.Hold,Hold
1114.Hold,Hold
1115.Hold,Hold
1116.Hold,Hold
1117.Hold,Hold
1118.Hold,Hold
1119.Hold,Hold
1120.Hold,Hold
1121.Hold,Hold
1122.Hold,Hold
1123.Hold,Hold
1124.Hold,Hold
1125.Hold,Hold
1126.Hold,Hold
1127.Hold,Hold
1128.Hold,Hold
1129.Hold,Hold
1130.Hold,Hold
1131.Hold,Hold
1132.Hold,Hold
1133.Hold,Hold
1134.Sell,Sell
1135.Hold,Hold
1136.Hold,Hold
1137.Hold,Hold
1138.Hold,Hold
1139.Hold,Hold
1140.Hold,Hold
1141.Hold,Hold
1142.Hold,Hold
1143.Hold,Hold
1144.Hold,Hold
1145.Sell,Sell
1146.Hold,Hold
1147.Hold,Hold
1148.Hold,Hold
1149.Hold,Hold
1150.Hold,Hold
1151.Hold,Hold
1152.Hold,Hold
1153.Hold,Hold
1154.Hold,Hold
1155.Hold,Hold
1156.Hold,Hold
1157.Hold,Hold
1158.Hold,Hold
1159.Hold,Hold
1160.Hold,Hold
1161.Hold,Hold
1162.Hold,Hold
1163.Hold,Hold
1164.Hold,Hold
1165.Hold,Hold
1166.Hold,Hold
1167.Hold,Hold
1168.Hold,Hold
1169.Hold,Hold
1170.Hold,Hold
1171.Hold,Hold
1172.Hold,Hold
1173.Hold,Hold
1174.Hold,Hold
1175.Hold,Hold
1176.Hold,Hold
1177.Hold,Hold
1178.Hold,Hold
1179.Hold,Hold
1180.Hold,Hold
1181.Hold,Hold
1182.Hold,Hold
1183.Hold,Hold
1184.Hold,Hold
1185.Hold,Hold
1186.Hold,Hold
1187.Hold,Hold
1188.Hold,Hold
1189.Hold,Hold
1190.Hold,Hold
1191.Hold,Hold
1192.Hold,Hold
1193.Hold,Hold
1194.Hold,Hold
1195.Hold,Hold
1196.Hold,Hold
1197.Hold,Hold
1198.Hold,Hold
1199.Hold,Hold
1200.Hold,Hold
1201.Hold,Hold
1202.Hold,Hold
1203.Sell,Sell
1204.Hold,Hold
1205.Hold,Hold
1206.Hold,Hold
1207.Hold,Hold
1208.Hold,Hold
1209.Hold,Hold
1210.Hold,Hold
1211.Sell,Sell
1212.Hold,Hold
1213.Hold,Hold
1214.Hold,Hold
1215.Hold,Hold
1216.Hold,Hold
1217.Hold,Hold
1218.Hold,Hold
1219.Hold,Hold
1220.Hold,Hold
1221.Hold,Hold
1222.Hold,Hold
1223.Sell,Sell
1224.Sell,Sell
1225.Sell,Sell
1226.Sell,Sell
1227.Hold,Hold
1228.Hold,Hold
1229.Hold,Hold
1230.Hold,Hold
1231.Hold,Hold
1232.Hold,Hold
1233.Hold,Hold
1234.Hold,Hold
1235.Hold,Hold
1236.Hold,Hold
1237.Hold,Hold
1238.Hold,Hold
1239.Hold,Hold
1240.Sell,Sell
1241.Hold,Hold
1242.Hold,Hold
1243.Hold,Hold
1244.Hold,Hold
1245.Hold,Hold
1246.Hold,Hold
1247.Sell,Sell
1248.Sell,Sell
1249.Sell,Sell
1250.Hold,Hold
1251.Sell,Sell
1252.Hold,Hold
1253.Sell,Sell
1254.Sell,Sell
1255.Sell,Sell
1256.Sell,Sell
1257.Sell,Sell
1258.Hold,Hold
1259.Hold,Hold
1260.Hold,Hold
1261.Hold,Hold
1262.Hold,Hold
1263.Hold,Hold
1264.Hold,Hold
1265.Hold,Hold
1266.Hold,Hold
1267.Sell,Sell
1268.Sell,Sell
1269.Hold,Hold
1270.Hold,Hold
1271.Hold,Hold
1272.Hold,Hold
1273.Hold,Hold
1274.Hold,Hold
1275.Hold,Hold
1276.Hold,Hold
1277.Hold,Hold
1278.Hold,Hold
1279.Hold,Hold
1280.Hold,Hold
1281.Hold,Hold
1282.Hold,Hold
1283.Hold,Hold
1284.Hold,Hold
1285.Hold,Hold
1286.Hold,Hold
1287.Hold,Hold
1288.Hold,Hold
1289.Hold,Hold
1290.Hold,Hold
1291.Hold,Hold
1292.Hold,Hold
1293.Hold,Hold
1294.Hold,Hold
1295.Hold,Hold
1296.Hold,Hold
1297.Hold,Hold
1298.Hold,Hold
1299.Hold,Hold
1300.Hold,Hold
1301.Hold,Hold
1302.Hold,Hold
1303.Hold,Hold
1304.Hold,Hold
1305.Hold,Hold
1306.Hold,Hold
1307.Hold,Hold
1308.Hold,Hold
1309.Hold,Hold
1310.Hold,Hold
1311.Hold,Hold
1312.Hold,Hold
1313.Hold,Hold
1314.Sell,Sell
1315.Sell,Sell
1316.Sell,Sell
1317.Sell,Sell
1318.Sell,Sell
1319.Sell,Sell
1320.Hold,Hold
1321.Hold,Hold
1322.Sell,Sell
1323.Sell,Sell
1324.Hold,Hold
1325.Sell,Sell
1326.Hold,Hold
1327.Hold,Hold
1328.Hold,Hold
1329.Hold,Hold
1330.Hold,Hold
1331.Hold,Hold
1332.Hold,Hold
1333.Buy,Buy
1334.Buy,Buy
1335.Hold,Hold
1336.Buy,Buy
1337.Hold,Hold
1338.Hold,Hold
1339.Hold,Hold
1340.Hold,Hold
1341.Hold,Hold
1342.Sell,Sell
1343.Sell,Sell
1344.Sell,Sell
1345.Sell,Sell
1346.Sell,Sell
1347.Sell,Sell
1348.Sell,Sell
1349.Sell,Sell
1350.Sell,Sell
1351.Sell,Sell
1352.Hold,Hold
1353.Sell,Sell
1354.Sell,Sell
1355.Sell,Sell
1356.Sell,Sell
1357.Sell,Sell
1358.Hold,Hold
1359.Hold,Hold
1360.Hold,Hold
1361.Hold,Hold
1362.Hold,Hold
